#,1,2,3,4,5,6,8,10,13,16,20,,,,
1,0.18,1.84,6.49,14.25,,,,,,,,,,,
3,0.05,0.70,2.97,7.16,12.55,,,,,,,,,,
10,0,0.22,1.19,3.29,7.03,14.53,,,,,,,,,
30,0,0.04,0.36,1.35,3.19,6.29,17.58,,,,,,,,
100,0,0,0.10,0.27,0.86,1.92,6.32,11.12,,,,,,,
300,0,0,0,0.07,0.14,0.46,2.18,5.84,13.54,,,,,,
1000,0,0,0,0,0,0.03,0.25,1.02,3.91,8.84,17.27,,,,
3000,0,0,0,0,0,0,0,0.09,0.33,1.12,3.34,,,,
#50x,,,,,,,,,,,,,,,
#,1,2,3,4,5,6,8,10,13,16,20,,,,
1,0.21,6.68,,,,,,,,,,,,,
3,0.05,2.57,9.71,,,,,,,,,,,,
10,0,0.40,4.67,11.10,,,,,,,,,,,
30,0,0.06,1.21,5.72,10.78,,,,,,,,,,
100,0,0,0.10,1.25,4.62,8.92,,,,,,,,,
300,0,0,0.02,0.10,0.69,2.67,8.81,16.49,,,,,,,
1000,0,0,0,0,0,0.08,0.80,3.29,8.34,14.00,,,,,
3000,0,0,0,0,0,0,0,0,0,0,0,,,,